Year,State,TotalCount,pop1000,epi_rate,division,region
1906,CALIFORNIA,224,1976,113.36032388663968,Pacific,West
1906,CONNECTICUT,23,1033,22.26524685382381,New England,Northeast
1906,FLORIDA,4,628,6.369426751592357,South Atlantic,South
1906,ILLINOIS,187,5309,35.223205876812955,East North Central,North Central
1906,INDIANA,20,2663,7.510326699211416,East North Central,North Central
1906,KENTUCKY,2,2234,0.8952551477170994,East South Central,South
1906,MAINE,26,729,35.66529492455418,New England,Northeast
1906,MASSACHUSETTS,282,3107,90.76279369166399,New England,Northeast
1906,MICHIGAN,320,2626,121.85833968012186,East North Central,North Central
1906,MISSOURI,274,3223,85.01396214706796,West North Central,North Central
1906,NEW HAMPSHIRE,3,415,7.228915662650603,New England,Northeast
1906,NEW JERSEY,12,2239,5.359535506922733,Middle Atlantic,Northeast
1906,NEW YORK,49,8289,5.911448908191579,Middle Atlantic,Northeast
1906,OHIO,466,4587,101.59145410943972,East North Central,North Central
1906,PENNSYLVANIA,409,7110,57.52461322081575,Middle Atlantic,Northeast
1906,RHODE ISLAND,2,492,4.065040650406504,New England,Northeast
1906,TENNESSEE,4,2136,1.8726591760299625,East South Central,South
1906,TEXAS,1,3546,0.28200789622109423,West South Central,South
1906,VERMONT,1,355,2.8169014084507045,New England,Northeast
1906,WASHINGTON,10,904,11.061946902654867,Pacific,West
1906,WISCONSIN,26,2250,11.555555555555555,East North Central,North Central
1907,CALIFORNIA,1236,2054,601.7526777020448,Pacific,West
1907,CONNECTICUT,106,1057,100.28382213812677,New England,Northeast
1907,FLORIDA,24,645,37.2093023255814,South Atlantic,South
1907,GEORGIA,136,2505,54.29141716566866,South Atlantic,South
1907,ILLINOIS,3422,5384,635.5869242199108,East North Central,North Central
1907,INDIANA,10446,2679,3899.2161254199327,East North Central,North Central
1907,IOWA,473,2217,213.35137573297249,West North Central,North Central
1907,KANSAS,1423,1612,882.7543424317618,West North Central,North Central
1907,KENTUCKY,451,2249,200.533570475767,East South Central,South
1907,LOUISIANA,17,1579,10.766307789740342,West South Central,South
1907,MAINE,139,731,190.15047879616964,New England,Northeast
1907,MASSACHUSETTS,4514,3183,1418.1589695256048,New England,Northeast
1907,MICHIGAN,1235,2693,458.5963609357594,East North Central,North Central
1907,MINNESOTA,61,1995,30.576441102756892,West North Central,North Central
1907,MISSISSIPPI,9,1728,5.208333333333333,East South Central,South
1907,MISSOURI,733,3242,226.09500308451575,West North Central,North Central
1907,MONTANA,39,332,117.46987951807229,Mountain,West
1907,NEBRASKA,309,1149,268.9295039164491,West North Central,North Central
1907,NEW HAMPSHIRE,985,423,2328.6052009456266,New England,Northeast
1907,NEW JERSEY,475,2314,205.2722558340536,Middle Atlantic,Northeast
1907,NEW YORK,1178,8499,138.6045417107895,Middle Atlantic,Northeast
1907,NORTH CAROLINA,273,2105,129.69121140142516,South Atlantic,South
1907,OHIO,5015,4630,1083.1533477321816,East North Central,North Central
1907,OKLAHOMA,1,1414,0.7072135785007072,West South Central,South
1907,OREGON,2,580,3.4482758620689653,Pacific,West
1907,PENNSYLVANIA,4951,7253,682.614090721081,Middle Atlantic,Northeast
1907,RHODE ISLAND,3,505,5.9405940594059405,New England,Northeast
1907,SOUTH CAROLINA,2,1468,1.3623978201634876,South Atlantic,South
1907,SOUTH DAKOTA,1,498,2.008032128514056,West North Central,North Central
1907,TENNESSEE,938,2136,439.1385767790262,East South Central,South
1907,TEXAS,108,3636,29.7029702970297,West South Central,South
1907,VERMONT,5,355,14.084507042253522,New England,Northeast
1907,VIRGINIA,430,1952,220.28688524590166,South Atlantic,South
1907,WASHINGTON,802,967,829.3691830403309,Pacific,West
1907,WEST VIRGINIA,27,1149,23.49869451697128,South Atlantic,South
1907,WISCONSIN,230,2268,101.41093474426808,East North Central,North Central
1908,CALIFORNIA,2273,2161,1051.827857473392,Pacific,West
1908,CONNECTICUT,365,1077,338.90436397400185,New England,Northeast
1908,FLORIDA,34,684,49.707602339181285,South Atlantic,South
1908,GEORGIA,206,2543,81.00668501769563,South Atlantic,South
1908,ILLINOIS,7054,5474,1288.6371940080378,East North Central,North Central
1908,INDIANA,1482,2677,553.6047814717969,East North Central,North Central
1908,IOWA,597,2220,268.9189189189189,West North Central,North Central
1908,KANSAS,168,1629,103.13075506445672,West North Central,North Central
1908,KENTUCKY,225,2263,99.42554131683606,East South Central,South
1908,MAINE,28,735,38.0952380952381,New England,Northeast
1908,MASSACHUSETTS,15262,3251,4694.555521378038,New England,Northeast
1908,MICHIGAN,1973,2722,724.834680382072,East North Central,North Central
1908,MINNESOTA,40,2020,19.801980198019802,West North Central,North Central
1908,MISSOURI,330,3260,101.22699386503068,West North Central,North Central
1908,MONTANA,48,346,138.72832369942196,Mountain,West
1908,NEBRASKA,158,1161,136.08957795004306,West North Central,North Central
1908,NEW HAMPSHIRE,68,428,158.87850467289718,New England,Northeast
1908,NEW JERSEY,2787,2403,1159.80024968789,Middle Atlantic,Northeast
1908,NEW YORK,1424,8714,163.41519394078495,Middle Atlantic,Northeast
1908,NORTH CAROLINA,62,2142,28.944911297852475,South Atlantic,South
1908,OHIO,4611,4677,985.8883899935856,East North Central,North Central
1908,OREGON,11,610,18.0327868852459,Pacific,West
1908,PENNSYLVANIA,13249,7398,1790.8894295755608,Middle Atlantic,Northeast
1908,RHODE ISLAND,6,519,11.560693641618496,New England,Northeast
1908,SOUTH CAROLINA,43,1485,28.95622895622896,South Atlantic,South
1908,SOUTH DAKOTA,2,527,3.795066413662239,West North Central,North Central
1908,TENNESSEE,539,2164,249.07578558225507,East South Central,South
1908,TEXAS,161,3727,43.19828280118057,West South Central,South
1908,VERMONT,8,354,22.598870056497177,New England,Northeast
1908,VIRGINIA,328,1994,164.49348044132398,South Atlantic,South
1908,WASHINGTON,200,1028,194.55252918287937,Pacific,West
1908,WISCONSIN,729,2292,318.0628272251309,East North Central,North Central
1909,ALABAMA,1,2108,0.47438330170777987,East South Central,South
1909,CALIFORNIA,2552,2282,1118.3172655565295,Pacific,West
1909,CONNECTICUT,122,1097,111.21239744758432,New England,Northeast
1909,FLORIDA,3,724,4.143646408839778,South Atlantic,South
1909,GEORGIA,2,2580,0.7751937984496124,South Atlantic,South
1909,ILLINOIS,9680,5567,1738.8180348482128,East North Central,North Central
1909,INDIANA,2370,2678,884.9887976101568,East North Central,North Central
1909,IOWA,55,2223,24.741340530814217,West North Central,North Central
1909,KANSAS,834,1658,503.015681544029,West North Central,North Central
1909,KENTUCKY,20,2278,8.77963125548727,East South Central,South
1909,LOUISIANA,78,1634,47.735618115055075,West South Central,South
1909,MAINE,145,740,195.94594594594594,New England,Northeast
1909,MARYLAND,13,1289,10.08533747090768,South Atlantic,South
1909,MASSACHUSETTS,9254,3316,2790.711700844391,New England,Northeast
1909,MICHIGAN,713,2771,257.30783110790327,East North Central,North Central
1909,MISSISSIPPI,1,1777,0.5627462014631401,East South Central,South
1909,MISSOURI,332,3279,101.25038121378468,West North Central,North Central
1909,MONTANA,22,363,60.60606060606061,Mountain,West
1909,NEBRASKA,88,1177,74.76635514018692,West North Central,North Central
1909,NEW HAMPSHIRE,1871,431,4341.067285382831,New England,Northeast
1909,NEW JERSEY,2046,2487,822.6779252110978,Middle Atlantic,Northeast
1909,NEW YORK,1422,8935,159.1494124230554,Middle Atlantic,Northeast
1909,NORTH CAROLINA,282,2174,129.71481140754372,South Atlantic,South
1909,OHIO,3838,4701,816.4220378642842,East North Central,North Central
1909,PENNSYLVANIA,10787,7546,1429.4990723562153,Middle Atlantic,Northeast
1909,RHODE ISLAND,1,532,1.8796992481203008,New England,Northeast
1909,SOUTH CAROLINA,58,1502,38.61517976031957,South Atlantic,South
1909,TENNESSEE,249,2177,114.37758383096005,East South Central,South
1909,TEXAS,10,3821,2.6171159382360636,West South Central,South
1909,VERMONT,16,356,44.9438202247191,New England,Northeast
1909,VIRGINIA,50,2038,24.53385672227674,South Atlantic,South
1909,WASHINGTON,909,1091,833.1805682859762,Pacific,West
1909,WEST VIRGINIA,163,1203,135.49459684123025,South Atlantic,South
1909,WISCONSIN,1815,2317,783.3405265429435,East North Central,North Central
1910,ALABAMA,606,2150,281.86046511627904,East South Central,South
1910,ARKANSAS,1,1583,0.6317119393556537,West South Central,South
1910,CALIFORNIA,8758,2406,3640.0665004156276,Pacific,West
1910,COLORADO,13,804,16.16915422885572,Mountain,West
1910,CONNECTICUT,302,1122,269.16221033868095,New England,Northeast
1910,FLORIDA,25,756,33.06878306878307,South Atlantic,South
1910,ILLINOIS,11582,5668,2043.4015525758643,East North Central,North Central
1910,INDIANA,9668,2713,3563.582749723553,East North Central,North Central
1910,IOWA,1,2228,0.4488330341113106,West North Central,North Central
1910,KANSAS,1159,1692,684.9881796690307,West North Central,North Central
1910,KENTUCKY,937,2299,407.568508046977,East South Central,South
1910,LOUISIANA,2470,1667,1481.7036592681463,West South Central,South
1910,MAINE,87,745,116.77852348993288,New England,Northeast
1910,MARYLAND,1,1302,0.7680491551459293,South Atlantic,South
1910,MASSACHUSETTS,12122,3365,3602.3774145616644,New England,Northeast
1910,MICHIGAN,2091,2832,738.3474576271186,East North Central,North Central
1910,MISSOURI,2059,3301,623.7503786731294,West North Central,North Central
1910,MONTANA,21,380,55.26315789473684,Mountain,West
1910,NEBRASKA,100,1198,83.47245409015025,West North Central,North Central
1910,NEW HAMPSHIRE,253,431,587.0069605568445,New England,Northeast
1910,NEW JERSEY,1543,2550,605.0980392156863,Middle Atlantic,Northeast
1910,NEW YORK,6673,9137,730.3272408886943,Middle Atlantic,Northeast
1910,NORTH CAROLINA,244,2221,109.86042323277803,South Atlantic,South
1910,OHIO,9784,4786,2044.2958629335562,East North Central,North Central
1910,OKLAHOMA,137,1671,81.98683423099939,West South Central,South
1910,PENNSYLVANIA,12471,7706,1618.3493381780431,Middle Atlantic,Northeast
1910,TENNESSEE,337,2191,153.8110451848471,East South Central,South
1910,TEXAS,49,3922,12.49362570117287,West South Central,South
1910,UTAH,84,377,222.81167108753317,Mountain,West
1910,VIRGINIA,209,2071,100.91743119266056,South Atlantic,South
1910,WASHINGTON,1136,1148,989.5470383275261,Pacific,West
1910,WEST VIRGINIA,88,1231,71.48659626320065,South Atlantic,South
1910,WISCONSIN,1973,2345,841.36460554371,East North Central,North Central
1911,ALABAMA,587,2185,268.64988558352405,East South Central,South
1911,CALIFORNIA,2679,2534,1057.2217837411208,Pacific,West
1911,COLORADO,1359,821,1655.2984165651644,Mountain,West
1911,CONNECTICUT,504,1149,438.64229765013056,New England,Northeast
1911,FLORIDA,261,773,337.6455368693402,South Atlantic,South
1911,ILLINOIS,6977,5757,1211.9159284349487,East North Central,North Central
1911,INDIANA,1153,2751,419.12031988367863,East North Central,North Central
1911,IOWA,11,2249,4.891062694530902,West North Central,North Central
1911,KANSAS,353,1684,209.61995249406175,West North Central,North Central
1911,KENTUCKY,289,2324,124.35456110154905,East South Central,South
1911,LOUISIANA,2298,1695,1355.7522123893807,West South Central,South
1911,MAINE,34,751,45.27296937416778,New England,Northeast
1911,MARYLAND,6,1324,4.531722054380665,South Atlantic,South
1911,MASSACHUSETTS,9761,3383,2885.3088974283182,New England,Northeast
1911,MICHIGAN,2526,2916,866.2551440329219,East North Central,North Central
1911,MISSOURI,145,3317,43.714199577931865,West North Central,North Central
1911,MONTANA,10,397,25.188916876574307,Mountain,West
1911,NEBRASKA,71,1216,58.38815789473684,West North Central,North Central
1911,NEW HAMPSHIRE,490,432,1134.2592592592594,New England,Northeast
1911,NEW JERSEY,1795,2610,687.7394636015326,Middle Atlantic,Northeast
1911,NEW YORK,2815,9249,304.3572278084117,Middle Atlantic,Northeast
1911,NORTH CAROLINA,8,2276,3.51493848857645,South Atlantic,South
1911,OHIO,3034,4821,629.3300145198092,East North Central,North Central
1911,OKLAHOMA,143,1714,83.43057176196032,West South Central,South
1911,PENNSYLVANIA,15198,7850,1936.0509554140128,Middle Atlantic,Northeast
1911,TENNESSEE,1224,2197,557.1233500227582,East South Central,South
1911,TEXAS,96,4016,23.904382470119522,West South Central,South
1911,UTAH,548,387,1416.0206718346253,Mountain,West
1911,VERMONT,45,358,125.69832402234637,New England,Northeast
1911,VIRGINIA,808,2092,386.2332695984704,South Atlantic,South
1911,WASHINGTON,2602,1167,2229.648671808055,Pacific,West
1911,WEST VIRGINIA,398,1266,314.3759873617694,South Atlantic,South
1911,WISCONSIN,943,2369,398.05825242718447,East North Central,North Central
1912,ALABAMA,109,2217,49.16553901668922,East South Central,South
1912,ARKANSAS,3,1636,1.8337408312958434,West South Central,South
1912,CALIFORNIA,3772,2668,1413.7931034482758,Pacific,West
1912,COLORADO,47,832,56.49038461538461,Mountain,West
1912,CONNECTICUT,636,1176,540.8163265306123,New England,Northeast
1912,FLORIDA,37,801,46.192259675405744,South Atlantic,South
1912,ILLINOIS,6862,5828,1177.4193548387098,East North Central,North Central
1912,INDIANA,256,2785,91.92100538599641,East North Central,North Central
1912,IOWA,1,2279,0.43878894251864853,West North Central,North Central
1912,KANSAS,46,1671,27.52842609216038,West North Central,North Central
1912,KENTUCKY,129,2347,54.96378355347252,East South Central,South
1912,LOUISIANA,327,1709,191.33996489174956,West South Central,South
1912,MAINE,4,753,5.3120849933598935,New England,Northeast
1912,MARYLAND,476,1345,353.90334572490707,South Atlantic,South
1912,MASSACHUSETTS,15375,3440,4469.476744186047,New England,Northeast
1912,MICHIGAN,378,2997,126.12612612612611,East North Central,North Central
1912,MISSOURI,113,3344,33.791866028708135,West North Central,North Central
1912,MONTANA,5,414,12.077294685990339,Mountain,West
1912,NEBRASKA,33,1232,26.785714285714285,West North Central,North Central
1912,NEW HAMPSHIRE,563,434,1297.2350230414747,New England,Northeast
1912,NEW JERSEY,3109,2670,1164.4194756554307,Middle Atlantic,Northeast
1912,NEW YORK,4643,9361,495.99401773314816,Middle Atlantic,Northeast
1912,NORTH CAROLINA,125,2313,54.042369217466494,South Atlantic,South
1912,OHIO,8479,4893,1732.8837114244839,East North Central,North Central
1912,OKLAHOMA,15,1737,8.635578583765112,West South Central,South
1912,PENNSYLVANIA,13305,7986,1666.0405709992488,Middle Atlantic,Northeast
1912,SOUTH CAROLINA,1,1572,0.6361323155216285,South Atlantic,South
1912,TENNESSEE,97,2218,43.733092876465285,East South Central,South
1912,TEXAS,158,4107,38.4709033357682,West South Central,South
1912,VERMONT,404,359,1125.3481894150418,New England,Northeast
1912,VIRGINIA,1662,2122,783.2233741753063,South Atlantic,South
1912,WASHINGTON,963,1184,813.3445945945946,Pacific,West
1912,WEST VIRGINIA,211,1291,163.43919442292795,South Atlantic,South
1912,WISCONSIN,2429,2407,1009.1400083090984,East North Central,North Central
1913,ALABAMA,7,2279,3.07152259763054,East South Central,South
1913,ARKANSAS,35,1664,21.033653846153847,West South Central,South
1913,CALIFORNIA,6759,2811,2404.4823906083247,Pacific,West
1913,COLORADO,15,835,17.964071856287426,Mountain,West
1913,CONNECTICUT,787,1208,651.4900662251656,New England,Northeast
1913,GEORGIA,3,2733,1.0976948408342482,South Atlantic,South
1913,ILLINOIS,15556,5961,2609.6292568361014,East North Central,North Central
1913,INDIANA,1472,2824,521.2464589235127,East North Central,North Central
1913,IOWA,195,2305,84.59869848156181,West North Central,North Central
1913,KANSAS,813,1663,488.8755261575466,West North Central,North Central
1913,KENTUCKY,182,2374,76.66385846672283,East South Central,South
1913,LOUISIANA,4555,1727,2637.521713954835,West South Central,South
1913,MAINE,7,763,9.174311926605505,New England,Northeast
1913,MARYLAND,289,1368,211.25730994152048,South Atlantic,South
1913,MASSACHUSETTS,17459,3534,4940.29428409734,New England,Northeast
1913,MICHIGAN,2705,3101,872.299258303773,East North Central,North Central
1913,MINNESOTA,42,2190,19.178082191780824,West North Central,North Central
1913,MISSOURI,2013,3409,590.4957465532415,West North Central,North Central
1913,MONTANA,17,433,39.260969976905315,Mountain,West
1913,NEBRASKA,10,1246,8.025682182985554,West North Central,North Central
1913,NEW HAMPSHIRE,1186,439,2701.594533029613,New England,Northeast
1913,NEW JERSEY,7381,2729,2704.653719311103,Middle Atlantic,Northeast
1913,NEW YORK,7332,9473,773.9892325556846,Middle Atlantic,Northeast
1913,NORTH CAROLINA,267,2362,113.03979678238781,South Atlantic,South
1913,OHIO,10174,4997,2036.0216129677808,East North Central,North Central
1913,OKLAHOMA,103,1777,57.96285875070343,West South Central,South
1913,OREGON,5,722,6.925207756232687,Pacific,West
1913,PENNSYLVANIA,21821,8139,2681.0418970389483,Middle Atlantic,Northeast
1913,TENNESSEE,957,2257,424.0141781125388,East South Central,South
1913,TEXAS,40,4207,9.507962918944617,West South Central,South
1913,VERMONT,705,361,1952.9085872576177,New England,Northeast
1913,VIRGINIA,6149,2176,2825.8272058823527,South Atlantic,South
1913,WASHINGTON,490,1209,405.29363110008273,Pacific,West
1913,WEST VIRGINIA,415,1317,315.1100987091875,South Atlantic,South
1913,WISCONSIN,1485,2438,609.1058244462674,East North Central,North Central
1914,ALABAMA,4,2336,1.7123287671232876,East South Central,South
1914,ALASKA,1,NA,NA,Pacific,West
1914,ARIZONA,5,253,19.76284584980237,Mountain,West
1914,ARKANSAS,914,1688,541.4691943127962,West South Central,South
1914,CALIFORNIA,5690,2934,1939.3319700068166,Pacific,West
1914,CONNECTICUT,538,1233,436.33414436334147,New England,Northeast
1914,ILLINOIS,4514,6109,738.9098052054346,East North Central,North Central
1914,INDIANA,752,2857,263.2131606580329,East North Central,North Central
1914,IOWA,9,2338,3.849443969204448,West North Central,North Central
1914,KANSAS,418,1662,251.50421179302046,West North Central,North Central
1914,KENTUCKY,323,2395,134.8643006263048,East South Central,South
1914,LOUISIANA,680,1740,390.8045977011495,West South Central,South
1914,MAINE,4,772,5.181347150259067,New England,Northeast
1914,MARYLAND,66,1389,47.51619870410367,South Atlantic,South
1914,MASSACHUSETTS,7597,3636,2089.3839383938393,New England,Northeast
1914,MICHIGAN,1571,3183,493.5595350298461,East North Central,North Central
1914,MISSISSIPPI,52,1832,28.384279475982535,East South Central,South
1914,MISSOURI,241,3467,69.51254687049322,West North Central,North Central
1914,MONTANA,52,452,115.04424778761062,Mountain,West
1914,NEW HAMPSHIRE,243,442,549.7737556561086,New England,Northeast
1914,NEW JERSEY,8558,2789,3068.483327357476,Middle Atlantic,Northeast
1914,NEW YORK,4329,9585,451.6431924882629,Middle Atlantic,Northeast
1914,NORTH CAROLINA,198,2421,81.78438661710037,South Atlantic,South
1914,OHIO,3994,5109,781.7576825210413,East North Central,North Central
1914,OKLAHOMA,27,1824,14.802631578947368,West South Central,South
1914,OREGON,440,736,597.8260869565217,Pacific,West
1914,PENNSYLVANIA,11246,8276,1358.869018849686,Middle Atlantic,Northeast
1914,RHODE ISLAND,138,589,234.29541595925295,New England,Northeast
1914,SOUTH CAROLINA,18,1622,11.097410604192355,South Atlantic,South
1914,TENNESSEE,321,2289,140.23591087811272,East South Central,South
1914,TEXAS,347,4300,80.69767441860465,West South Central,South
1914,VERMONT,16,362,44.19889502762431,New England,Northeast
1914,VIRGINIA,981,2241,437.75100401606426,South Atlantic,South
1914,WASHINGTON,691,1231,561.3322502030869,Pacific,West
1914,WEST VIRGINIA,93,1362,68.28193832599119,South Atlantic,South
1914,WISCONSIN,1369,2490,549.7991967871486,East North Central,North Central
1915,ALABAMA,2,2345,0.8528784648187633,East South Central,South
1915,ARIZONA,8,263,30.418250950570343,Mountain,West
1915,ARKANSAS,122,1702,71.6803760282021,West South Central,South
1915,CALIFORNIA,7996,3008,2658.244680851064,Pacific,West
1915,COLORADO,46,868,52.995391705069125,Mountain,West
1915,CONNECTICUT,504,1258,400.6359300476948,New England,Northeast
1915,DELAWARE,4,217,18.433179723502302,South Atlantic,South
1915,FLORIDA,30,922,32.53796095444685,South Atlantic,South
1915,GEORGIA,5,2810,1.779359430604982,South Atlantic,South
1915,ILLINOIS,20940,6194,3380.690991281886,East North Central,North Central
1915,INDIANA,1030,2873,358.51026801253045,East North Central,North Central
1915,IOWA,30,2366,12.679628064243449,West North Central,North Central
1915,KANSAS,223,1687,132.18731475992888,West North Central,North Central
1915,KENTUCKY,417,2401,173.67763431903373,East South Central,South
1915,LOUISIANA,352,1755,200.56980056980055,West South Central,South
1915,MAINE,8,774,10.335917312661499,New England,Northeast
1915,MARYLAND,20,1401,14.275517487508921,South Atlantic,South
1915,MASSACHUSETTS,14903,3705,4022.4021592442646,New England,Northeast
1915,MICHIGAN,1031,3263,315.96690162427217,East North Central,North Central
1915,MISSOURI,39,3492,11.168384879725085,West North Central,North Central
1915,MONTANA,28,469,59.701492537313435,Mountain,West
1915,NEBRASKA,341,1272,268.08176100628936,West North Central,North Central
1915,NEW HAMPSHIRE,33,443,74.4920993227991,New England,Northeast
1915,NEW JERSEY,6303,2850,2211.578947368421,Middle Atlantic,Northeast
1915,NEW YORK,7646,9700,788.2474226804123,Middle Atlantic,Northeast
1915,NORTH CAROLINA,1,2473,0.4043671653861706,South Atlantic,South
1915,OHIO,7602,5251,1447.724243001333,East North Central,North Central
1915,OKLAHOMA,1,1860,0.5376344086021505,West South Central,South
1915,OREGON,202,745,271.1409395973154,Pacific,West
1915,PENNSYLVANIA,20804,8362,2487.9215498684525,Middle Atlantic,Northeast
1915,RHODE ISLAND,2,597,3.3500837520938025,New England,Northeast
1915,SOUTH CAROLINA,2,1635,1.2232415902140672,South Atlantic,South
1915,TENNESSEE,51,2294,22.23190932868352,East South Central,South
1915,TEXAS,11,4368,2.5183150183150187,West South Central,South
1915,UTAH,53,430,123.25581395348837,Mountain,West
1915,VERMONT,5,360,13.888888888888888,New England,Northeast
1915,VIRGINIA,424,2294,184.82999128160418,South Atlantic,South
